,t,V
0,0.0,-39.23166241509069
1,5e-05,-39.23166241509069
2,0.0001,-39.23166241509069
3,0.00015,-39.23166241509069
4,0.0002,-39.23166241509069
5,0.00025,-39.23166241509069
6,0.00030000000000000003,-39.23166241509069
7,0.00035,-39.23166241509069
8,0.0004,-39.23166241509069
9,0.00045,-39.23166241509069
10,0.0005,-39.23166241509069
11,0.00055,-39.23166241509069
12,0.0006000000000000001,-39.23166241509069
13,0.0006500000000000001,-39.23166241509069
14,0.0007,-39.23166241509069
15,0.00075,-39.23166241509069
16,0.0008,-39.23166241509069
17,0.0008500000000000001,-39.23166241509069
18,0.0009000000000000002,-39.23166241509069
19,0.00095,-39.23166241509069
20,0.001,-39.23166241509069
21,0.0010500000000000002,-39.23166241509069
22,0.0011,-39.23166241509069
23,0.00115,-39.23166241509069
24,0.0012,-39.23166241509069
25,0.00125,-39.23166241509069
26,0.0013000000000000002,-39.23166241509069
27,0.00135,-39.23166241509069
28,0.0014,-39.23166241509069
29,0.00145,-39.23166241509069
30,0.0015,-39.23166241509069
31,0.0015500000000000002,-39.23166241509069
32,0.0016,-39.23166241509069
33,0.00165,-39.23166241509069
34,0.0017,-39.23166241509069
35,0.00175,-39.23166241509069
36,0.0018000000000000004,-39.23166241509069
37,0.00185,-39.23166241509069
38,0.0019,-39.23166241509069
39,0.00195,-39.23166241509069
40,0.002,-39.23166241509069
41,0.00205,-39.23166241509069
42,0.0021000000000000003,-39.23166241509069
43,0.00215,-39.23166241509069
44,0.0022,-39.23166241509069
45,0.0022500000000000003,-39.23166241509069
46,0.0023,-39.23166241509069
47,0.00235,-39.23166241509069
48,0.0024,-39.23166241509069
49,0.00245,-39.23166241509069
50,0.0025,-39.23166241509069
51,0.00255,-39.23166241509069
52,0.0026000000000000003,-39.23166241509069
53,0.00265,-39.23166241509069
54,0.0027,-39.23166241509069
55,0.0027500000000000003,-39.23166241509069
56,0.0028,-39.23166241509069
57,0.00285,-39.23166241509069
58,0.0029,-39.23166241509069
59,0.00295,-39.23166241509069
60,0.003,-39.23166241509069
61,0.00305,-39.23166241509069
62,0.0031000000000000003,-39.23166241509069
63,0.00315,-39.23166241509069
64,0.0032,-39.23166241509069
65,0.0032500000000000003,-39.23166241509069
66,0.0033,-39.23166241509069
67,0.00335,-39.23166241509069
68,0.0034,-39.23166241509069
69,0.0034500000000000004,-39.23166241509069
70,0.0035,-39.23166241509069
71,0.00355,-39.23166241509069
72,0.0036000000000000008,-39.23166241509069
73,0.00365,-39.23166241509069
74,0.0037,-39.23166241509069
75,0.00375,-39.23166241509069
76,0.0038,-39.23166241509069
77,0.00385,-39.23166241509069
78,0.0039,-39.23166241509069
79,0.00395,62.96036010100142
80,0.004,149.78600551743529
81,0.00405,193.9029298259501
82,0.0041,211.56343575273343
83,0.00415,213.81378741654078
84,0.004200000000000001,207.3820380505085
85,0.00425,196.29481162711926
86,0.0043,182.93863514321637
87,0.004350000000000001,168.73989633923105
88,0.0044,154.5169186477996
89,0.00445,140.7106529590599
90,0.0045000000000000005,127.56109744682018
91,0.00455,115.19310965210101
92,0.0046,103.65027402150875
93,0.0046500000000000005,92.92373234594544
94,0.0047,82.98172647262675
95,0.00475,73.78587005826024
96,0.0048,65.29366080034934
97,0.00485,57.45846609184813
98,0.0049,50.23230802487156
99,0.00495,43.56954951190219
100,0.005,37.42814406691043
101,0.005050000000000001,31.768797740842174
102,0.0051,26.55426171006536
103,0.00515,21.749610227167267
104,0.005200000000000001,17.322701594404933
105,0.00525,13.24408881696105
106,0.0053,9.486565891441908
107,0.005350000000000001,6.024878706140476
108,0.0054,2.835706702335869
109,0.00545,-0.10241066014068423
110,0.0055000000000000005,-2.8092057742530114
111,0.00555,-5.3028630337012554
112,0.0056,-7.600155751110416
113,0.0056500000000000005,-9.716548866884207
114,0.0057,-11.666290032425596
115,0.00575,-13.462501536025547
116,0.0058000000000000005,-15.11726696202054
117,0.00585,-16.64171568093884
118,0.0059,-18.04611363162586
119,0.00595,-19.339925573908086
120,0.006,-20.531863683862884
121,0.006050000000000001,-21.629945610808473
122,0.0061,-22.641557818136043
123,0.00615,-23.57350962931209
124,0.006200000000000001,-24.432075982332115
125,0.00625,-25.223036208336207
126,0.0063,-25.95171305591422
127,0.006350000000000001,-26.623010307007377
128,0.0064,-27.241446467753143
129,0.00645,-27.81118449290562
130,0.006500000000000001,-28.336059157568954
131,0.00655,-28.819603011241377
132,0.0066,-29.26507052423046
133,0.0066500000000000005,-29.67546004910989
134,0.0067,-30.05353384586712
135,0.00675,-30.40183659502407
136,0.0068000000000000005,-30.722712566778743
137,0.00685,-31.018321449333015
138,0.006900000000000001,-31.290652888012904
139,0.00695,-31.54153985722982
140,0.006999999999999999,-31.772670986032992
141,0.007050000000000002,-31.985601926827755
142,0.0071,-32.18176583454876
143,0.00715,-32.362483015932334
144,0.0072000000000000015,-32.528969812261266
145,0.00725,-32.68234678248431
146,0.0073,-32.823646246315995
147,0.0073500000000000015,-32.9538192349955
148,0.0074,-33.073741892604005
149,0.00745,-33.184221371814175
150,0.0075000000000000015,-33.2860012661473
151,0.00755,-33.37976661538502
152,0.0076,-33.46614851663873
153,0.00765,-33.545728371889155
154,0.0077,-33.619041801077785
155,0.00775,-33.68658224721591
156,0.0078,-33.74880429760232
157,0.007850000000000001,-33.806126743479076
158,0.0079,-33.858935398780126
159,0.00795,-33.90758569691707
160,0.008,-33.952405083050245
161,0.00805,-33.99369521798637
162,0.0081,-34.03173400855966
163,0.008150000000000001,-34.066777478130646
164,0.0082,-34.09906148977449
165,0.00825,-34.12880333377571
166,0.0083,-34.15620319012816
167,0.00835,-34.18144547587395
168,0.008400000000000001,-34.204700086341084
169,0.008450000000000001,-34.22612353863926
170,0.0085,-34.24586002511469
171,0.00855,-34.26404238385238
172,0.0086,-34.28079299275496
173,0.00865,-34.29622459321895
174,0.008700000000000001,-34.31044104895155
175,0.00875,-34.32353804503469
176,0.0088,-34.33560373194173
177,0.00885,-34.34671931884196
178,0.0089,-34.3569596201862
179,0.00895,-34.36639355925163
180,0.009000000000000001,-34.37508463203556
181,0.00905,-34.383091334620076
182,0.0091,-34.3904675568849
183,0.00915,-34.39726294521741
184,0.0092,-34.403523236661535
185,0.00925,-34.409290566754244
186,0.0093,-34.41460375312195
187,0.00935,-34.419498556745445
188,0.0094,-34.42400792265178
189,0.00945,-34.428162201653016
190,0.0095,-34.43198935462475
191,0.00955,-34.43551514069854
192,0.0096,-34.43876329063559
193,0.00965,-34.44175566654817
194,0.0097,-34.44451240904423
195,0.00975,-34.44705207278515
196,0.0098,-34.449391751368694
197,0.00985,-34.45154719237908
198,0.0099,-34.453532903377
199,0.00995,-34.45536224954364
200,0.01,-34.45704754363593
201,0.01005,-34.45860012885861
202,0.0101,-34.46003045520979
203,0.01015,-34.46134814981601
204,0.0102,-34.46256208172783
205,0.01025,-34.46368042161342
206,0.0103,-34.46471069675213
207,0.01035,-34.46565984169739
208,0.0104,-34.46653424494999
209,0.01045,-34.46733979195625
210,0.0105,-34.46808190472029
211,0.01055,-34.46876557829744
212,0.0106,-34.46939541441362
213,0.01065,-34.46997565243753
214,0.0107,-34.47051019791421
215,0.01075,-34.47100264885151
216,0.0108,-34.47145631993632
217,0.01085,-34.471874264844836
218,0.0109,-34.47225929679516
219,0.01095,-34.47261400748211
220,0.011000000000000001,-34.47294078452063
221,0.01105,-34.47324182751591
222,0.0111,-34.47351916286779
223,0.01115,-34.47377465740964
224,0.0112,-34.474010030973595
225,0.01125,-34.474226867965626
226,0.0113,-34.47442662802952
227,0.01135,-34.47461065587106
228,0.0114,-34.47478019030863
229,0.01145,-34.474936372614714
230,0.0115,-34.47508025418662
231,0.01155,-34.4752128038823
232,0.0116,-34.47533491430214
233,0.01165,-34.47544740733005
234,0.0117,-34.47555104018465
235,0.01175,-34.47564650869177
236,0.0118,-34.47573445259475
237,0.01185,-34.47581546445794
238,0.0119,-34.475890107114616
239,0.01195,-34.47595888597387
240,0.012,-34.47602232596612
241,0.01205,-34.47608149255132
242,0.0121,-34.476133167325365
243,0.01215,-34.47618092292555
244,0.0122,-34.476225056429016
245,0.01225,-34.47626584239442
246,0.0123,-34.476303534568714
247,0.01235,-34.476338367464614
248,0.0124,-34.47637055781889
249,0.01245,-34.4764003059395
250,0.0125,-34.47642779695091
251,0.01255,-34.476453201945105
252,0.0126,-34.476476679045255
253,0.01265,-34.47649837438867
254,0.0127,-34.47651842303542
255,0.01275,-34.47653694980797
256,0.0128,-34.47655407006713
257,0.01285,-34.4765698904293
258,0.0129,-34.47658450942929
259,0.01295,-34.47659801813298
260,0.013000000000000001,-34.47661050070347
261,0.01305,-34.476622034924176
262,0.0131,-34.47663269268241
263,0.01315,-34.476642540416385
264,0.0132,-34.4766516395284
265,0.01325,-34.47666004676643
266,0.0133,-34.47666781457678
267,0.01335,-34.47667499143037
268,0.0134,-34.47668162212402
269,0.01345,-34.476687748058886
270,0.0135,-34.47669340749781
271,0.01355,-34.476698635803366
272,0.0136,-34.47670346565767
273,0.01365,-34.47670787522408
274,0.0137,-34.47671216360379
275,0.01375,-34.47671611660353
276,0.013800000000000002,-34.47671975720684
277,0.01385,-34.47672310887478
278,0.0139,-34.47672619400301
279,0.01395,-34.476729033489356
280,0.014,-34.47673164667494
281,0.01405,-34.47673405140606
282,0.0141,-34.47673626413145
283,0.01415,-34.476738300005216
284,0.0142,-34.47674017298669
285,0.01425,-34.47674189593408
286,0.0143,-34.47674348069075
287,0.01435,-34.47674493816539
288,0.0144,-34.476746278405635
289,0.01445,-34.476747510666314
290,0.0145,-34.47674864347167
291,0.01455,-34.47674968467324
292,0.0146,-34.476750641502775
293,0.014650000000000003,-34.47675152062122
294,0.0147,-34.47675232816402
295,0.01475,-34.47675306978219
296,0.0148,-34.47675375068068
297,0.01485,-34.476754375653634
298,0.0149,-34.476754949116945
299,0.01495,-34.476755475137935
300,0.015,-34.4767559574628
301,0.01505,-34.47675639954217
302,0.0151,-34.476756804554306
303,0.01515,-34.47675717542662
304,0.0152,-34.47675751485549
305,0.01525,-34.47675782532446
306,0.0153,-34.47675810912107
307,0.01535,-34.4767583683522
308,0.0154,-34.47675860495862
309,0.01545,-34.476758820727795
310,0.0155,-34.476759017306016
311,0.01555,-34.476759196209855
312,0.0156,-34.476759358836034
313,0.01565,-34.47675950647114
314,0.015700000000000002,-34.47675964030018
315,0.01575,-34.47675976141463
316,0.0158,-34.47675987081984
317,0.01585,-34.47675996944183
318,0.0159,-34.47676005813338
319,0.015950000000000002,-34.47676013768
320,0.016,-34.476760208805324
321,0.016050000000000002,-34.476760272175746
