ec_name,g_name,220221_221829,220505_064245,220405_043944
common,c_p,0.0705246456538585,0.0832425629530858,0.2410421701350877
common,c_m,0.7739145608057567,0.8163167375505882,0.7883065115265503
common,a0_m,0.1650801446870786,2.554051252862507,0.7708526167680434
common,b0_m,0.7249495361920177,0.4239672274997271,2.6551994646695105
common,delta_m,9.44255027715341,0.5246218051861248,6.374625604444367
common,s_m,1.7294730330512769,2.900501882485157,0.9958529987428492
common,tau_m_const,0.0012016532507988,1.920186176571013,1.1140867038480728
common,a0_h,0.4263031587774052,3.8226268394224943,0.1297316788225871
common,b0_h,0.2282823010658554,1.175685123518573,1.3891301187832203
common,delta_h,0.4355497533614004,0.161562125966938,0.1764084483729349
common,s_h,1.127923285848243,4.356687880706739,0.4332671306292184
common,tau_h_const,2.1531819631010003,1.3046232917555451,4.275128993662551
common,a0_j,1.0489140813687317,0.4575698666407725,7.703484677535017
common,b0_j,0.7213163090190529,0.4805332202691619,0.1657256653896248
common,delta_j,0.4369466519640689,1.384112963651349,1.1841142304813144
common,s_j,0.1265909832235575,0.7126744414969608,5.417943494275799
common,tau_j_const,0.2060195018182592,7.538477019779843,0.3158023066369956
common,R,1.7499217008556156,1.3630962452044044,1.411535899570775
common,R_f,0.7967972391107958,14.663857740201218,0.30606864030277
common,g_max,14.184631119624513,0.5757877377664803,1.0053856136309698
common,g_leak,2.850116891308564,3.53293105024646,4.400910989499172
common,v_half_h,95.35730339008596,89.7333324004182,91.23834489763894
common,v_half_m,28.410798069811374,17.62881027014221,21.554029818611117
common,k_h,7.904199628532334,14.453094935760989,12.473754437304825
common,k_m,2.560182674855782,9.791868309995394,6.77426091671309
common,x_c_comp,0.1694980069751344,0.1072006509831806,0.2366481615049378
common,x_r_comp,8.31770808849254,0.6493320461571889,0.2764273483467164
common,alpha,0.7270903154198401,0.7507650946471615,0.7587663315066452
common,v_rev,72.46115397796116,77.92459244154861,63.31948938271394
common,tau_z,2.3057029386330594,1.712285707496617,1.9609619831697704
trace,v_off,-0.8860225211418935,-1.0806128527842978,0.3005162970322179
