,t,I_out
0,0.0,-74.57286564899695
1,5e-05,-74.5728656483286
2,0.0001,-74.57286564766035
3,0.00015,-74.57286564699211
4,0.0002,-74.57286564632395
5,0.00025,-74.57286564565585
6,0.0003,-74.57286564498781
7,0.00035,-74.57286564431985
8,0.0004,-74.57286564365198
9,0.00045,-74.57286564298417
10,0.0005,-74.57286564231643
11,0.00055,-74.57286564164876
12,0.0006,-74.57286564098118
13,0.00065,-74.57286564031365
14,0.0007,-74.57286563964621
15,0.00075,-74.57286563897883
16,0.0008,-74.57286563831153
17,0.00085,-74.57286563764428
18,0.0009,-74.57286563697713
19,0.00095,-74.57286563631003
20,0.001,-74.57286563564301
21,0.00105,-74.57286563497605
22,0.0011,-74.57286563430918
23,0.00115,-74.57286563364237
24,0.0012,-74.57286563297563
25,0.00125,-74.57286563230896
26,0.0013,-74.57286563164237
27,0.00135,-74.57286563097584
28,0.0014,-74.5728656303094
29,0.00145,-74.572865629643
30,0.0015,-74.5728656289767
31,0.00155,-74.57286562831045
32,0.0016,-74.57286562764429
33,0.00165,-74.57286562697819
34,0.0017,-74.57286562631216
35,0.00175,-74.5728656256462
36,0.0018,-74.57286562498032
37,0.00185,-74.5728656243145
38,0.0019,-74.57286562364877
39,0.00195,-74.57286562298309
40,0.002,-74.5728656223175
41,0.00205,-74.57286562165196
42,0.0021,-74.5728656209865
43,0.00215,-74.57286562032111
44,0.0022,-74.5728656196558
45,0.00225,-74.57286561899055
46,0.0023,-74.57286561832538
47,0.00235,-74.57286561766027
48,0.0024,-74.57286561699524
49,0.00245,-74.57286561633028
50,0.0025,-74.57286561566539
51,0.00255,-74.57286561500057
52,0.0026,-74.57286561433583
53,0.00265,-74.57286561367114
54,0.0027,-74.57286561300654
55,0.00275,-74.572865612342
56,0.0028,-74.57286561167751
57,0.00285,-74.5728656110131
58,0.0029,-74.57286561034873
59,0.00295,-74.57286560968443
60,0.003,-74.57286560902018
61,0.00305,-74.57286560835603
62,0.0031,-74.57286560769192
63,0.00315,-74.57286560702788
64,0.0032,-74.57286560636392
65,0.00325,-74.57286560570003
66,0.0033,-74.5728656050362
67,0.00335,-74.57286560437245
68,0.0034,-74.57286560370876
69,0.00345,-74.57286560304516
70,0.0035,-74.57286560238161
71,0.00355,-74.57286560171815
72,0.0036,-74.57286560105474
73,0.00365,-74.57286560039142
74,0.0037,-74.57286559972816
75,0.00375,-74.57286559906498
76,0.0038,-74.57286559840186
