,t,I_out
0,0.0,2.13623
1,5e-05,-11.5967
2,0.0001,-135.193
3,0.00015,-370.178
4,0.0002,-639.954
5,0.00025,-870.667
6,0.0003,-1022.03
7,0.00035,-1086.43
8,0.0004,-1076.05
9,0.00045,-1013.79
10,0.0005,-923.767
11,0.00055,-824.89
12,0.0006,-731.201
13,0.00065,-651.245
14,0.0007,-586.548
15,0.00075,-538.025
16,0.0008,-502.625
17,0.00085,-477.295
18,0.0009,-460.205
19,0.00095,-447.998
20,0.001,-438.843
21,0.00105,-430.908
22,0.0011,-424.194
23,0.00115,-417.786
24,0.0012,-411.987
25,0.00125,-405.884
26,0.0013,-398.865
27,0.00135,-393.066
28,0.0014,-387.268
29,0.00145,-380.859
30,0.0015,-375.061
31,0.00155,-368.347
32,0.0016,-361.938
33,0.00165,-356.445
34,0.0017,-350.647
35,0.00175,-344.543
36,0.0018,-339.05
37,0.00185,-334.167
38,0.0019,-329.285
39,0.00195,-324.707
40,0.002,-319.824
41,0.00205,-314.941
42,0.0021,-310.669
43,0.00215,-306.396
44,0.0022,-301.819
45,0.00225,-297.241
46,0.0023,-293.274
47,0.00235,-289.612
48,0.0024,-285.95
49,0.00245,-282.288
50,0.0025,-278.32
51,0.00255,-274.963
52,0.0026,-271.912
53,0.00265,-268.555
54,0.0027,-265.503
55,0.00275,-262.756
56,0.0028,-260.01
57,0.00285,-256.958
58,0.0029,-253.906
59,0.00295,-251.16
60,0.003,-248.718
61,0.00305,-245.667
62,0.0031,-243.225
63,0.00315,-240.173
64,0.0032,-237.427
65,0.00325,-235.291
66,0.0033,-232.849
67,0.00335,-230.103
68,0.0034,-228.271
69,0.00345,-225.83
70,0.0035,-223.389
71,0.00355,-221.558
72,0.0036,-219.421
73,0.00365,-216.98
74,0.0037,-214.539
75,0.00375,-213.013
76,0.0038,-210.876
77,0.00385,-208.74
78,0.0039,-206.604
79,0.00395,-198.364
80,0.004,-160.522
81,0.00405,-105.896
82,0.0041,-55.2368
83,0.00415,-19.2261
84,0.0042,-2.74658
85,0.00425,-3.05176
86,0.0043,-14.6484
87,0.00435,-33.5693
