,t,I_out
0,0.0,2.44141
1,5e-05,-10.6812
2,0.0001,-129.089
3,0.00015,-319.824
4,0.0002,-507.202
5,0.00025,-644.531
6,0.0003,-715.637
7,0.00035,-726.013
8,0.0004,-693.054
9,0.00045,-632.629
10,0.0005,-562.439
11,0.00055,-493.774
12,0.0006,-433.044
13,0.00065,-384.827
14,0.0007,-347.595
15,0.00075,-321.96
16,0.0008,-304.26
17,0.00085,-292.053
18,0.0009,-284.729
19,0.00095,-280.151
20,0.001,-276.794
21,0.00105,-273.132
22,0.0011,-270.386
23,0.00115,-267.029
24,0.0012,-264.587
25,0.00125,-261.23
26,0.0013,-258.179
27,0.00135,-255.127
28,0.0014,-251.77
29,0.00145,-248.718
30,0.0015,-244.751
31,0.00155,-241.699
32,0.0016,-238.647
33,0.00165,-235.901
34,0.0017,-233.154
35,0.00175,-230.103
36,0.0018,-227.356
37,0.00185,-224.609
38,0.0019,-222.473
39,0.00195,-220.032
40,0.002,-216.98
41,0.00205,-214.844
42,0.0021,-212.097
43,0.00215,-209.961
44,0.0022,-206.604
45,0.00225,-204.163
46,0.0023,-202.026
47,0.00235,-199.89
48,0.0024,-197.449
49,0.00245,-194.702
50,0.0025,-192.871
51,0.00255,-190.125
52,0.0026,-188.599
53,0.00265,-186.462
54,0.0027,-184.021
55,0.00275,-182.19
56,0.0028,-180.054
57,0.00285,-177.917
58,0.0029,-175.476
59,0.00295,-173.95
60,0.003,-171.814
61,0.00305,-169.983
62,0.0031,-168.152
63,0.00315,-166.321
64,0.0032,-164.49
65,0.00325,-162.354
66,0.0033,-161.438
67,0.00335,-159.302
68,0.0034,-157.166
69,0.00345,-155.945
70,0.0035,-154.419
71,0.00355,-152.588
72,0.0036,-151.062
73,0.00365,-149.231
74,0.0037,-147.705
75,0.00375,-145.874
76,0.0038,-144.653
77,0.00385,-142.517
78,0.0039,-141.296
79,0.00395,-132.141
80,0.004,-93.3838
81,0.00405,-43.335
82,0.0041,-2.44141
83,0.00415,20.1416
84,0.0042,25.6348
85,0.00425,17.7002
86,0.0043,1.2207
87,0.00435,-17.395
88,0.0044,-36.3159
89,0.00445,-52.1851
90,0.0045,-64.3921
91,0.00455,-72.6318
92,0.0046,-78.7354
93,0.00465,-82.0923
94,0.0047,-83.0078
95,0.00475,-83.6182
96,0.0048,-82.7026
97,0.00485,-82.0923
98,0.0049,-81.4819
99,0.00495,-80.2612
100,0.005,-79.0405
101,0.00505,-77.8198
102,0.0051,-77.8198
103,0.00515,-77.2095
104,0.0052,-76.5991
105,0.00525,-75.9888
106,0.0053,-75.6836
107,0.00535,-75.0732
108,0.0054,-74.4629
109,0.00545,-73.8525
110,0.0055,-72.937
111,0.00555,-72.3267
112,0.0056,-72.0215
113,0.00565,-71.106
114,0.0057,-70.8008
115,0.00575,-70.4956
116,0.0058,-69.8853
117,0.00585,-69.2749
118,0.0059,-68.3594
119,0.00595,-68.0542
120,0.006,-67.749
121,0.00605,-67.1387
122,0.0061,-66.2231
123,0.00615,-65.3076
124,0.0062,-65.3076
125,0.00625,-64.6973
126,0.0063,-63.7817
127,0.00635,-63.1714
128,0.0064,-62.561
129,0.00645,-62.561
130,0.0065,-62.2559
131,0.00655,-61.6455
132,0.0066,-61.6455
133,0.00665,-60.4248
134,0.0067,-60.4248
135,0.00675,-59.8145
136,0.0068,-59.5093
137,0.00685,-59.2041
138,0.0069,-58.5938
139,0.00695,-58.5938
140,0.0069999999999999,-57.9834
141,0.00705,-57.6782
142,0.0071,-57.373
143,0.00715,-57.0679
144,0.0072,-57.0679
145,0.00725,-56.1523
146,0.0073,-56.1523
147,0.00735,-55.8472
148,0.0074,-55.2368
149,0.00745,-54.9316
150,0.0075,-54.3213
151,0.00755,-53.7109
152,0.0076,-53.1006
153,0.00765,-52.7954
154,0.0077,-52.4902
155,0.00775,-52.1851
156,0.0078,-51.5747
157,0.00785,-51.5747
158,0.0079,-50.9644
159,0.00795,-50.9644
160,0.008,-50.6592
161,0.00805,-50.6592
162,0.0081,-50.354
163,0.00815,-49.7437
164,0.0082,-49.7437
165,0.00825,-49.4385
166,0.0083,-49.1333
167,0.00835,-48.8281
168,0.0084,-47.9126
169,0.00845,-47.6074
170,0.0085,-47.3022
171,0.00855,-46.9971
172,0.0086,-46.3867
173,0.00865,-45.7764
174,0.0087,-45.7764
175,0.00875,-45.166
176,0.0088,-45.4712
177,0.00885,-44.8608
178,0.0089,-44.8608
179,0.00895,-44.5557
180,0.009,-44.2505
181,0.00905,-43.9453
182,0.0091,-43.335
183,0.00915,-43.335
184,0.0092,-42.7246
185,0.00925,-42.7246
186,0.0093,-42.7246
187,0.00935,-42.4194
188,0.0094,-42.7246
189,0.00945,-42.4194
190,0.0095,-42.4194
191,0.00955,-42.1143
192,0.0096,-42.4194
193,0.00965,-41.8091
194,0.0097,-41.8091
195,0.00975,-41.5039
196,0.0098,-41.1987
197,0.00985,-41.1987
198,0.0099,-40.8936
199,0.00995,-40.5884
200,0.01,-39.978
201,0.01005,-39.978
202,0.0101,-39.3677
203,0.01015,-39.3677
204,0.0102,-39.0625
205,0.01025,-39.3677
206,0.0103,-39.0625
207,0.01035,-39.0625
208,0.0104,-38.7573
209,0.01045,-38.4521
210,0.0105,-38.4521
211,0.01055,-38.147
212,0.0106,-38.4521
213,0.01065,-38.147
214,0.0107,-38.4521
215,0.01075,-38.4521
216,0.0108,-38.147
217,0.01085,-38.4521
218,0.0109,-38.147
219,0.01095,-38.147
220,0.011,-37.2314
221,0.01105,-37.2314
222,0.0111,-36.3159
223,0.01115,-36.6211
224,0.0112,-36.0107
225,0.01125,-36.0107
226,0.0113,-36.3159
227,0.01135,-35.7056
228,0.0114,-35.7056
229,0.01145,-35.4004
230,0.0115,-35.4004
231,0.01155,-34.79
232,0.0116,-34.79
233,0.01165,-35.0952
234,0.0117,-35.0952
235,0.01175,-35.0952
236,0.0118,-34.79
237,0.01185,-35.0952
238,0.0119,-34.4849
239,0.01195,-35.0952
240,0.012,-34.79
241,0.01205,-34.1797
242,0.0121,-34.4849
243,0.01215,-33.8745
244,0.0122,-34.1797
245,0.01225,-33.2642
246,0.0123,-33.5693
247,0.01235,-32.959
248,0.0124,-32.959
249,0.01245,-32.959
250,0.0125,-32.3486
251,0.01255,-32.6538
252,0.0126,-32.3486
253,0.01265,-33.2642
254,0.0127,-32.6538
255,0.01275,-32.959
256,0.0128,-32.959
257,0.01285,-32.6538
258,0.0129,-32.6538
259,0.01295,-32.0435
260,0.013,-32.0435
261,0.01305,-31.7383
262,0.0131,-32.3486
263,0.01315,-32.0435
264,0.0132,-31.4331
265,0.01325,-31.1279
266,0.0133,-31.1279
267,0.01335,-31.4331
268,0.0134,-30.8228
269,0.01345,-31.1279
270,0.0135,-31.4331
271,0.01355,-31.1279
272,0.0136,-31.1279
273,0.01365,-30.8228
274,0.0137,-31.1279
275,0.01375,-31.4331
276,0.0138,-31.4331
277,0.01385,-31.4331
278,0.0139,-31.1279
279,0.01395,-31.1279
280,0.0139999999999999,-31.4331
281,0.01405,-31.4331
282,0.0141,-31.4331
283,0.01415,-31.4331
284,0.0142,-31.4331
285,0.01425,-30.8228
286,0.0143,-30.5176
287,0.01435,-30.5176
288,0.0144,-30.5176
289,0.01445,-30.8228
290,0.0145,-30.5176
291,0.01455,-30.5176
292,0.0146,-30.2124
293,0.01465,-30.8228
294,0.0147,-30.5176
295,0.01475,-30.2124
296,0.0148,-30.2124
297,0.01485,-30.2124
298,0.0149,-30.8228
299,0.01495,-30.2124
300,0.015,-30.5176
301,0.01505,-30.5176
302,0.0151,-29.9072
303,0.01515,-30.5176
304,0.0152,-29.9072
305,0.01525,-29.9072
306,0.0153,-29.6021
307,0.01535,-30.2124
308,0.0154,-29.9072
309,0.01545,-29.2969
310,0.0155,-29.2969
311,0.01555,-28.9917
312,0.0156,-28.9917
313,0.01565,-29.2969
314,0.0157,-28.3813
315,0.01575,-28.3813
316,0.0158,-28.0762
317,0.01585,-28.9917
318,0.0159,-28.9917
319,0.01595,-28.6865
320,0.016,-28.9917
321,0.01605,-28.3813
322,0.0161,-28.9917
323,0.01615,-28.9917
324,0.0162,-28.6865
325,0.01625,-28.3813
