,t,I_out
0,0.0,2.74658
1,5e-05,-10.0708
2,0.0001,-127.869
3,0.00015,-357.666
4,0.0002,-619.507
5,0.00025,-834.961
6,0.0003,-962.219
7,0.00035,-994.568
8,0.0004,-948.486
9,0.00045,-851.135
10,0.0005,-729.675
11,0.00055,-605.469
12,0.0006,-492.249
13,0.00065,-400.391
14,0.0007,-330.2
15,0.00075,-279.541
16,0.0008,-246.277
17,0.00085,-225.83
18,0.0009,-214.233
19,0.00095,-208.74
20,0.001,-205.688
21,0.00105,-204.773
22,0.0011,-204.163
23,0.00115,-203.552
24,0.0012,-202.942
25,0.00125,-201.721
26,0.0013,-200.5
27,0.00135,-198.975
28,0.0014,-197.449
29,0.00145,-195.313
30,0.0015,-193.176
31,0.00155,-191.65
32,0.0016,-190.125
33,0.00165,-188.904
34,0.0017,-187.073
35,0.00175,-185.242
36,0.0018,-183.716
37,0.00185,-182.8
38,0.0019,-180.664
39,0.00195,-179.138
40,0.002,-177.917
41,0.00205,-176.086
42,0.0021,-174.866
43,0.00215,-173.34
44,0.0022,-171.509
45,0.00225,-169.983
46,0.0023,-168.762
47,0.00235,-166.931
48,0.0024,-165.405
49,0.00245,-163.879
50,0.0025,-162.354
51,0.00255,-161.133
52,0.0026,-159.607
53,0.00265,-158.081
54,0.0027,-157.166
55,0.00275,-156.25
56,0.0028,-155.334
57,0.00285,-153.809
58,0.0029,-153.198
59,0.00295,-151.672
60,0.003,-150.452
61,0.00305,-149.231
62,0.0031,-147.4
63,0.00315,-146.179
64,0.0032,-145.264
65,0.00325,-143.738
66,0.0033,-142.517
67,0.00335,-141.296
68,0.0034,-140.076
69,0.00345,-139.16
70,0.0035,-137.939
71,0.00355,-136.414
72,0.0036,-134.583
73,0.00365,-134.277
74,0.0037,-133.362
75,0.00375,-132.141
76,0.0038,-131.226
77,0.00385,-130.615
78,0.0039,-129.7
79,0.00395,-121.765
80,0.004,-85.7544
81,0.00405,-32.0435
82,0.0041,18.0054
83,0.00415,52.4902
84,0.0042,66.8335
85,0.00425,63.1714
86,0.0043,46.3867
87,0.00435,22.583
88,0.0044,-3.05176
89,0.00445,-26.8555
90,0.0045,-46.9971
91,0.00455,-62.8662
92,0.0046,-73.8525
93,0.00465,-80.8716
94,0.0047,-84.8389
95,0.00475,-86.9751
96,0.0048,-87.8906
97,0.00485,-87.2803
98,0.0049,-86.6699
99,0.00495,-85.4492
100,0.005,-84.5337
101,0.00505,-84.2285
102,0.0051,-83.313
103,0.00515,-82.3975
104,0.0052,-82.3975
105,0.00525,-82.0923
106,0.0053,-81.4819
107,0.00535,-81.1768
108,0.0054,-81.1768
109,0.00545,-80.2612
110,0.0055,-79.9561
111,0.00555,-79.6509
112,0.0056,-79.0405
113,0.00565,-78.7354
114,0.0057,-78.4302
115,0.00575,-78.125
116,0.0058,-77.5146
117,0.00585,-77.2095
118,0.0059,-76.5991
119,0.00595,-75.9888
120,0.006,-75.3784
121,0.00605,-74.7681
122,0.0061,-73.5474
123,0.00615,-73.5474
124,0.0062,-72.937
125,0.00625,-72.3267
126,0.0063,-71.7163
127,0.00635,-71.4111
128,0.0064,-71.106
129,0.00645,-70.4956
130,0.0065,-70.1904
131,0.00655,-69.8853
132,0.0066,-69.5801
133,0.00665,-69.2749
134,0.0067,-68.9697
135,0.00675,-68.3594
136,0.0068,-68.3594
137,0.00685,-68.0542
138,0.0069,-67.4438
139,0.00695,-66.8335
140,0.0069999999999999,-66.5283
141,0.00705,-66.2231
142,0.0071,-65.918
143,0.00715,-65.6128
144,0.0072,-65.3076
145,0.00725,-65.0024
146,0.0073,-65.0024
147,0.00735,-64.6973
148,0.0074,-64.0869
149,0.00745,-64.0869
150,0.0075,-64.0869
151,0.00755,-63.7817
152,0.0076,-63.4766
153,0.00765,-62.8662
154,0.0077,-62.561
155,0.00775,-62.561
156,0.0078,-62.2559
157,0.00785,-61.3403
158,0.0079,-61.3403
159,0.00795,-61.0352
160,0.008,-60.4248
161,0.00805,-60.1196
162,0.0081,-59.8145
163,0.00815,-59.2041
164,0.0082,-59.2041
165,0.00825,-59.5093
166,0.0083,-59.5093
167,0.00835,-59.5093
168,0.0084,-59.5093
169,0.00845,-59.5093
170,0.0085,-58.8989
171,0.00855,-58.5938
172,0.0086,-57.9834
173,0.00865,-58.2886
174,0.0087,-57.6782
175,0.00875,-57.373
176,0.0088,-57.0679
177,0.00885,-56.7627
178,0.0089,-56.7627
179,0.00895,-56.7627
180,0.009,-56.4575
181,0.00905,-56.4575
182,0.0091,-56.1523
183,0.00915,-56.1523
184,0.0092,-55.8472
185,0.00925,-55.542
186,0.0093,-55.542
187,0.00935,-55.542
188,0.0094,-54.9316
189,0.00945,-54.6265
190,0.0095,-54.6265
191,0.00955,-54.6265
192,0.0096,-54.3213
193,0.00965,-53.7109
194,0.0097,-53.1006
195,0.00975,-52.7954
196,0.0098,-52.7954
197,0.00985,-52.7954
198,0.0099,-52.1851
199,0.00995,-51.8799
200,0.01,-51.8799
201,0.01005,-51.5747
202,0.0101,-51.2695
203,0.01015,-51.2695
204,0.0102,-51.2695
205,0.01025,-50.9644
206,0.0103,-50.9644
207,0.01035,-50.6592
208,0.0104,-50.354
209,0.01045,-50.0488
210,0.0105,-50.0488
211,0.01055,-49.4385
212,0.0106,-49.4385
213,0.01065,-49.7437
214,0.0107,-49.4385
215,0.01075,-49.4385
216,0.0108,-48.8281
217,0.01085,-48.8281
218,0.0109,-48.8281
219,0.01095,-48.5229
220,0.011,-48.8281
221,0.01105,-48.2178
222,0.0111,-47.9126
223,0.01115,-47.9126
224,0.0112,-47.9126
225,0.01125,-47.3022
226,0.0113,-46.9971
227,0.01135,-46.9971
228,0.0114,-46.9971
