,t,I_out
0,0.0,-37.2314
1,5e-05,-36.6211
2,0.0001,-36.6211
3,0.00015,-36.6211
4,0.0002,-36.3159
5,0.00025,-36.0107
6,0.0003,-35.7056
7,0.00035,-35.7056
8,0.0004,-36.0107
9,0.00045,-35.4004
10,0.0005,-35.7056
11,0.00055,-36.0107
12,0.0006,-35.7056
13,0.00065,-36.0107
14,0.0007,-36.0107
15,0.00075,-36.0107
16,0.0008,-36.3159
17,0.00085,-36.0107
18,0.0009,-36.3159
19,0.00095,-36.0107
20,0.001,-35.7056
21,0.00105,-36.3159
22,0.0011,-36.3159
23,0.00115,-36.0107
24,0.0012,-36.0107
25,0.00125,-36.3159
26,0.0013,-36.3159
27,0.00135,-36.6211
28,0.0014,-36.3159
29,0.00145,-36.6211
30,0.0015,-36.9263
31,0.00155,-36.6211
32,0.0016,-36.9263
33,0.00165,-36.6211
34,0.0017,-36.6211
35,0.00175,-36.6211
36,0.0018,-36.3159
37,0.00185,-36.3159
38,0.0019,-36.6211
39,0.00195,-36.6211
40,0.002,-37.2314
41,0.00205,-37.2314
42,0.0021,-37.2314
43,0.00215,-37.2314
44,0.0022,-37.8418
45,0.00225,-37.5366
46,0.0023,-37.8418
47,0.00235,-37.8418
48,0.0024,-37.8418
49,0.00245,-38.4521
50,0.0025,-38.4521
51,0.00255,-38.7573
52,0.0026,-38.4521
53,0.00265,-38.7573
54,0.0027,-38.7573
55,0.00275,-39.0625
56,0.0028,-38.4521
57,0.00285,-38.7573
58,0.0029,-38.7573
59,0.00295,-38.7573
60,0.003,-38.7573
61,0.00305,-38.7573
62,0.0031,-38.7573
63,0.00315,-39.0625
64,0.0032,-39.0625
65,0.00325,-39.0625
66,0.0033,-39.6729
67,0.00335,-39.3677
68,0.0034,-39.3677
69,0.00345,-39.6729
70,0.0035,-39.6729
71,0.00355,-39.978
72,0.0036,-40.2832
73,0.00365,-39.978
74,0.0037,-39.3677
75,0.00375,-39.6729
76,0.0038,-39.3677
77,0.00385,-39.6729
78,0.0039,-39.0625
79,0.00395,-30.2124
80,0.004,19.8364
81,0.00405,79.3457
82,0.0041,116.272
83,0.00415,123.596
84,0.0042,109.558
85,0.00425,84.8389
86,0.0043,58.5938
87,0.00435,36.9263
88,0.0044,21.6675
89,0.00445,12.8174
90,0.0045,8.54492
91,0.00455,8.54492
92,0.0046,10.9863
93,0.00465,13.1226
94,0.0047,15.8691
95,0.00475,18.0054
96,0.0048,19.2261
97,0.00485,20.1416
98,0.0049,19.8364
99,0.00495,19.5313
100,0.005,18.6157
101,0.00505,18.0054
102,0.0051,16.4795
