,t,I_out
0,0.0,-10.6812
1,5e-05,-23.8037
2,0.0001,-143.127
3,0.00015,-246.887
4,0.0002,-244.751
5,0.00025,-198.059
6,0.0003,-196.533
7,0.00035,-288.391
8,0.0004,-472.412
9,0.00045,-716.248
10,0.0005,-977.783
11,0.00055,-1220.09
12,0.0006,-1418.46
13,0.00065,-1561.89
14,0.0007,-1650.09
15,0.00075,-1689.76
16,0.0008,-1691.89
17,0.00085,-1668.09
18,0.0009,-1629.03
19,0.00095,-1582.64
20,0.001,-1534.73
21,0.00105,-1488.95
22,0.0011,-1447.45
23,0.00115,-1410.83
24,0.0012,-1379.09
25,0.00125,-1350.4
26,0.0013,-1326.29
27,0.00135,-1305.24
28,0.0014,-1286.32
29,0.00145,-1268.92
30,0.0015,-1253.66
31,0.00155,-1239.01
32,0.0016,-1225.28
33,0.00165,-1212.46
34,0.0017,-1200.56
35,0.00175,-1188.96
36,0.0018,-1177.98
37,0.00185,-1166.38
38,0.0019,-1154.79
39,0.00195,-1143.8
40,0.002,-1132.81
41,0.00205,-1122.13
42,0.0021,-1112.06
43,0.00215,-1102.29
44,0.0022,-1092.53
45,0.00225,-1083.68
46,0.0023,-1074.83
47,0.00235,-1066.28
48,0.0024,-1058.04
49,0.00245,-1049.8
50,0.0025,-1041.26
51,0.00255,-1033.63
52,0.0026,-1025.39
53,0.00265,-1017.15
54,0.0027,-1010.13
55,0.00275,-1002.81
56,0.0028,-994.873
57,0.00285,-987.854
58,0.0029,-980.53
59,0.00295,-973.206
60,0.003,-966.492
61,0.00305,-959.778
62,0.0031,-952.759
63,0.00315,-946.655
64,0.0032,-940.552
65,0.00325,-934.448
66,0.0033,-928.65
67,0.00335,-923.157
68,0.0034,-916.748
69,0.00345,-911.56
70,0.0035,-905.457
71,0.00355,-899.353
72,0.0036,-893.86
73,0.00365,-888.672
74,0.0037,-883.179
75,0.00375,-877.991
76,0.0038,-873.108
77,0.00385,-868.225
78,0.0039,-863.342
79,0.00395,-850.525
80,0.004,-805.359
81,0.00405,-762.024
82,0.0041,-744.629
83,0.00415,-745.544
84,0.0042,-750.122
85,0.00425,-747.681
86,0.0043,-734.863
87,0.00435,-712.28
88,0.0044,-684.814
89,0.00445,-656.433
90,0.0045,-630.798
91,0.00455,-610.657
92,0.0046,-595.093
93,0.00465,-584.717
94,0.0047,-579.529
95,0.00475,-577.393
96,0.0048,-577.087
97,0.00485,-578.613
98,0.0049,-580.444
99,0.00495,-581.665
100,0.005,-582.886
101,0.00505,-583.496
102,0.0051,-583.496
103,0.00515,-583.191
104,0.0052,-582.886
105,0.00525,-581.665
106,0.0053,-580.75
107,0.00535,-579.529
108,0.0054,-578.308
109,0.00545,-576.782
110,0.0055,-575.256
111,0.00555,-573.73
112,0.0056,-571.594
113,0.00565,-570.068
114,0.0057,-568.542
115,0.00575,-566.711
116,0.0058,-565.186
117,0.00585,-563.354
118,0.0059,-560.913
119,0.00595,-559.692
120,0.006,-557.556
121,0.00605,-555.725
122,0.0061,-554.199
123,0.00615,-552.368
124,0.0062,-549.927
125,0.00625,-547.485
126,0.0063,-545.654
127,0.00635,-543.823
128,0.0064,-541.687
129,0.00645,-540.161
130,0.0065,-538.025
131,0.00655,-536.499
132,0.0066,-534.973
133,0.00665,-533.447
134,0.0067,-531.616
135,0.00675,-529.785
136,0.0068,-527.649
137,0.00685,-525.513
138,0.0069,-524.292
139,0.00695,-522.461
140,0.0069999999999999,-520.935
141,0.00705,-519.409
142,0.0071,-517.883
143,0.00715,-515.747
144,0.0072,-513.916
145,0.00725,-512.695
146,0.0073,-510.864
147,0.00735,-509.338
148,0.0074,-508.423
149,0.00745,-506.287
150,0.0075,-505.371
151,0.00755,-503.54
152,0.0076,-502.014
153,0.00765,-500.183
154,0.0077,-499.268
155,0.00775,-497.742
156,0.0078,-496.826
157,0.00785,-495.911
158,0.0079,-495.3
159,0.00795,-494.69
160,0.008,-493.774
161,0.00805,-492.859
162,0.0081,-492.249
163,0.00815,-491.028
164,0.0082,-489.807
165,0.00825,-488.281
166,0.0083,-487.061
167,0.00835,-485.535
168,0.0084,-483.704
169,0.00845,-482.483
170,0.0085,-480.652
171,0.00855,-479.126
172,0.0086,-478.21
173,0.00865,-476.99
174,0.0087,-476.074
175,0.00875,-475.464
176,0.0088,-473.938
177,0.00885,-473.328
178,0.0089,-472.412
179,0.00895,-471.802
180,0.009,-470.581
181,0.00905,-469.666
182,0.0091,-468.75
183,0.00915,-467.834
184,0.0092,-466.003
185,0.00925,-464.478
186,0.0093,-462.952
187,0.00935,-461.121
