,t,I_out
0,0.0,-2.13623
1,5e-05,-15.8691
2,0.0001,-145.264
3,0.00015,-380.859
4,0.0002,-634.155
5,0.00025,-834.961
6,0.0003,-950.012
7,0.00035,-977.783
8,0.0004,-935.364
9,0.00045,-848.999
10,0.0005,-741.577
11,0.00055,-632.629
12,0.0006,-534.973
13,0.00065,-454.407
14,0.0007,-392.456
15,0.00075,-347.595
16,0.0008,-317.383
17,0.00085,-296.631
18,0.0009,-284.119
19,0.00095,-276.489
20,0.001,-271.301
21,0.00105,-267.639
22,0.0011,-264.587
23,0.00115,-261.841
24,0.0012,-258.789
25,0.00125,-255.737
26,0.0013,-251.77
27,0.00135,-248.718
28,0.0014,-245.056
29,0.00145,-241.394
30,0.0015,-238.037
31,0.00155,-234.68
32,0.0016,-231.628
33,0.00165,-228.271
34,0.0017,-225.22
35,0.00175,-222.473
36,0.0018,-220.032
37,0.00185,-217.59
38,0.0019,-214.844
39,0.00195,-212.097
40,0.002,-209.961
41,0.00205,-207.52
42,0.0021,-205.078
43,0.00215,-202.637
44,0.0022,-200.195
45,0.00225,-198.364
46,0.0023,-196.228
47,0.00235,-193.481
48,0.0024,-191.956
49,0.00245,-189.819
50,0.0025,-187.988
51,0.00255,-185.852
52,0.0026,-183.411
53,0.00265,-181.58
54,0.0027,-180.359
55,0.00275,-178.528
56,0.0028,-177.002
57,0.00285,-175.781
58,0.0029,-173.95
59,0.00295,-173.34
60,0.003,-171.509
61,0.00305,-169.678
62,0.0031,-168.152
63,0.00315,-166.626
64,0.0032,-165.405
65,0.00325,-164.185
66,0.0033,-162.048
67,0.00335,-161.133
68,0.0034,-159.302
69,0.00345,-157.776
70,0.0035,-156.555
71,0.00355,-155.334
72,0.0036,-154.114
73,0.00365,-153.198
74,0.0037,-152.283
75,0.00375,-150.757
76,0.0038,-149.231
77,0.00385,-148.621
78,0.0039,-147.705
79,0.00395,-138.55
80,0.004,-98.5718
81,0.00405,-43.335
82,0.0041,3.96729
83,0.00415,33.8745
84,0.0042,44.2505
85,0.00425,37.5366
86,0.0043,19.8364
87,0.00435,-3.05176
88,0.0044,-26.2451
89,0.00445,-46.9971
90,0.0045,-64.0869
91,0.00455,-76.2939
92,0.0046,-84.8389
93,0.00465,-90.332
94,0.0047,-93.3838
95,0.00475,-94.6045
96,0.0048,-95.2148
97,0.00485,-94.9097
98,0.0049,-94.2993
99,0.00495,-93.9941
100,0.005,-93.0786
101,0.00505,-93.0786
102,0.0051,-92.1631
103,0.00515,-92.1631
104,0.0052,-92.1631
105,0.00525,-91.8579
106,0.0053,-91.5527
107,0.00535,-90.332
108,0.0054,-90.332
109,0.00545,-90.0269
110,0.0055,-90.0269
111,0.00555,-89.7217
112,0.0056,-89.4165
113,0.00565,-89.1113
114,0.0057,-89.4165
115,0.00575,-88.8062
116,0.0058,-88.8062
117,0.00585,-88.1958
118,0.0059,-88.1958
119,0.00595,-88.1958
120,0.006,-87.5854
121,0.00605,-87.2803
122,0.0061,-86.9751
123,0.00615,-86.6699
124,0.0062,-86.3647
125,0.00625,-85.7544
